num_states,num_last_iterations,pct_steady_range,margin,agree_rate,steady_rate
400,100,20,5,0.9991111111111111,0.08977777777777778
300,100,5,5,0.9991111111111111,0.0017777777777777779
400,100,5,5,0.9982222222222222,0.0017777777777777779
200,100,20,5,0.9982222222222222,0.08888888888888889
200,100,5,3,0.9973333333333333,0.0008888888888888889
300,100,20,5,0.9973333333333333,0.08977777777777778
300,100,15,5,0.9964444444444445,0.0791111111111111
300,50,20,5,0.9964444444444445,0.09422222222222222
300,100,5,3,0.9964444444444445,0.0
200,50,20,5,0.9955555555555555,0.09333333333333334
400,100,5,3,0.9955555555555555,0.0
200,50,12,5,0.9955555555555555,0.06933333333333333
400,100,15,3,0.9946666666666667,0.088
400,100,12,5,0.9946666666666667,0.06488888888888888
200,100,12,5,0.9946666666666667,0.064
300,100,12,5,0.9946666666666667,0.06577777777777778
300,50,15,5,0.9937777777777778,0.0791111111111111
200,100,5,5,0.9937777777777778,0.0008888888888888889
400,50,20,5,0.9937777777777778,0.09155555555555556
400,50,15,5,0.9937777777777778,0.08177777777777778
300,100,20,3,0.9937777777777778,0.09955555555555555
300,100,10,5,0.9937777777777778,0.050666666666666665
400,100,20,3,0.9928888888888889,0.10311111111111111
400,100,10,5,0.9928888888888889,0.04711111111111111
400,100,10,3,0.9928888888888889,0.059555555555555556
300,100,12,3,0.9928888888888889,0.07466666666666667
400,100,12,3,0.992,0.06933333333333333
300,100,15,3,0.992,0.08622222222222223
400,50,20,3,0.992,0.10222222222222223
400,50,10,5,0.9911111111111112,0.05511111111111111
400,100,15,5,0.9911111111111112,0.07733333333333334
200,100,12,3,0.9911111111111112,0.07022222222222223
200,100,15,3,0.9911111111111112,0.08711111111111111
200,100,15,5,0.9911111111111112,0.07733333333333334
300,100,10,3,0.9902222222222222,0.058666666666666666
200,50,15,5,0.9902222222222222,0.07822222222222222
400,50,12,3,0.9902222222222222,0.07555555555555556
400,50,5,3,0.9893333333333333,0.0017777777777777779
200,100,10,3,0.9893333333333333,0.058666666666666666
200,50,5,3,0.9893333333333333,0.0017777777777777779
200,50,10,5,0.9893333333333333,0.05333333333333334
300,50,5,5,0.9893333333333333,0.0017777777777777779
200,50,5,5,0.9884444444444445,0.0
300,50,15,3,0.9884444444444445,0.088
200,50,15,3,0.9875555555555555,0.08711111111111111
200,100,20,3,0.9875555555555555,0.09777777777777778
300,50,12,5,0.9866666666666667,0.06844444444444445
400,50,12,5,0.9866666666666667,0.06488888888888888
200,50,20,3,0.9866666666666667,0.10311111111111111
300,50,10,5,0.9866666666666667,0.05511111111111111
300,50,20,3,0.9866666666666667,0.10311111111111111
400,50,10,3,0.9857777777777778,0.06755555555555555
200,100,10,5,0.9857777777777778,0.04711111111111111
400,50,5,5,0.9848888888888889,0.0017777777777777779
300,50,5,3,0.984,0.0008888888888888889
300,50,12,3,0.9822222222222222,0.07822222222222222
400,50,15,3,0.9804444444444445,0.08888888888888889
200,50,10,3,0.9795555555555555,0.06133333333333333
200,50,12,3,0.9786666666666667,0.07644444444444444
300,50,10,3,0.976,0.060444444444444446
